Kansas City	song	1960	date
Just A Little Love	song	1960	date
Jivin' Woman	song	1960	date
It's You I Love Baby	song	1960	date
It's My Own Fault	song	1960	date
It's A Pity	song	1960	date
It's A Mean World	song	1960	date
It Ain't Right	song	1960	date
In The Dark	song	1960	date
I Want You So Bad	song	1960	date
I've Been Treated Wrong	song	1960	date
I Put My Trust On You	song	1960	date
I Need You Baby	song	1960	date
I Need Some Money	song	1960	date
I'm Wanderin'	song	1960	date
I'mMad Again	song	1960	date
I'mLeaving Baby	song	1960	date
I'm Gonna Do What They Do To Me	song	1960	date
I'mGoing Upstairs	song	1960	date
I Love You So	song	1960	date
I Know What Your Putting Down	song	1960	date
I Got My Brand On You	song	1960	date
I Done Got Wise	song	1960	date
I Asked For Water	song	1960	date
Howlin' For My Baby	song	1960	date
How Many More Years	song	1960	date
How Long Blues	song	1960	date
Help The Poor (Version 1)	song	1960	date
Have You Heard	song	1960	date
Grab Me A Freight	song	1960	date
Got My Mojo Working	song	1960	date
Got A Good Thing Goin'	song	1960	date
Gonna Keep On Loving You	song	1960	date
Going Down Slow	song	1960	date
Goin' Down Slow	song	1960	date
Get Off My Back Woman	song	1960	date
Get Myself Somebody	song	1960	date
Gambler's Blues	song	1960	date
Frisco Blues	song	1960	date
Fools Get Wise	song	1960	date
Five Long Years (Version 2)	song	1960	date
Evil	song	1960	date
Everyday I Have The Blues (Version 3)	song	1960	date
Elevate Me Mama	song	1960	date
Early In The Morning (Version 1)	song	1960	date
Driving Wheel	song	1960	date
Drinking Beer	song	1960	date
Downhearted	song	1960	date
Down In The Bottom	song	1960	date
Double Crossing Time	song	1960	date
Don't Let Go	song	1960	date
Don't Get Around Much Anymore	song	1960	date
Don't Answer The Door	song	1960	date
Democrat Man	song	1960	date
Days Of Old (Version 1)	song	1960	date
Cryin' For My Baby	song	1960	date
Confessin' The Blues	song	1960	date
Come Back Baby	song	1960	date
Cane River	song	1960	date
Callin' On My Darlin'	song	1960	date
Buzz Me (Version 1)	song	1960	date
Built For Comfort	song	1960	date
Boom Boom	song	1960	date
Bo Diddley's A Gunslinger	song	1960	date
Baby, Blues Before Sunrise (Version 2)	song	1960	date
Blues At Midnight	song	1960	date
Blindman	song	1960	date
Be Careful With A Fool	song	1960	date
All Your Love	song	1960	date
All Over Again	song	1960	date
I Know You Rider	song	1960	date
You're Still My Woman	song	1970	date
You Got To Lose	song	1970	date
You Can't Lose What You Never Had	song	1970	date
Who Are You	song	1970	date
When The Welfare Turns Its Back On You	song	1970	date
Waitin' For The Bus	song	1970	date
Took The Car	song	1970	date
The Blues Had A Baby And They Named It Rock And Roll	song	1970	date
The Beginning Of The End	song	1970	date
That's What The Blues Is All About	song	1970	date
Take It Home	song	1970	date
(Somebody Else Been) Shakin' Your Tree	song	1970	date
She Loves My Automobile	song	1970	date
Second Hand Woman	song	1970	date
Same Old Story (Same Old Song)	song	1970	date
Running Out Of Steam	song	1970	date
Rub My Back	song	1970	date
Power Of The Blues	song	1970	date
Part Time Love	song	1970	date
Pan Am Highway Blues	song	1970	date
Pack It Up	song	1970	date
One Bourbon, One Scotch, One Beer	song	1970	date
Niji Baby	song	1970	date
Never Make A Move Too Soon	song	1970	date
Neighbor, Neighbor	song	1970	date
My Pretty Girl	song	1970	date
My Babe	song	1970	date
Move Me On Down The Line	song	1970	date
Move It On Over	song	1970	date
Midnight Believer	song	1970	date
Mamie	song	1970	date
Madison Blues	song	1970	date
Let The Good Times Roll (Version 1)	song	1970	date
Let Me Make You Cry A Little Longer	song	1970	date
Just Got Paid	song	1970	date
Just Got Back From Baby's	song	1970	date
Jesus Just Left Chicago	song	1970	date
I Wonder Why	song	1970	date
I Want To Be Loved	song	1970	date
I Wanna Get Funky	song	1970	date
I've Got Papers On You	song	1970	date
I've Always Been Lonely	song	1970	date
I'm Ready	song	1970	date
I Love You So	song	1970	date
I'll Play The Blues For You (Part 1 and 2)	song	1970	date
I Like To Live The Love	song	1970	date
I Just Can't Leave Your Love Alone	song	1970	date
I Get Evil	song	1970	date
I Don't Care What My Baby Do	song	1970	date
Hummingbird	song	1970	date
How Blue Can You Get	song	1970	date
Hold On	song	1970	date
Hi Fi Mama	song	1970	date
Happy Birthday Blues	song	1970	date
Guitar Man	song	1970	date
Go Underground	song	1970	date
Ghetto Woman	song	1970	date
GetOut Of My Life Woman	song	1970	date
Five Long Years (Version 1)	song	1970	date
Eyesight To The Blind	song	1970	date
Everyday I Have The Blues (Version 2)	song	1970	date
Dust My Broom	song	1970	date
Deep Down In Florida	song	1970	date
Deep Blues Sea	song	1970	date
Crying	song	1970	date
Crosseyed Cat	song	1970	date
Come By Here	song	1970	date
Cocaine Blues	song	1970	date
Change Of Pace	song	1970	date
Chains And Things	song	1970	date
Certified Blues	song	1970	date
Can't You See What You're Doing To Me	song	1970	date
Can't Stop Lovin'	song	1970	date
Call My Job	song	1970	date
Caldonia (Version 1)	song	1970	date
Brown Sugar	song	1970	date
Born Under A Bad Sign	song	1970	date
Blue Shadows	song	1970	date
Blue Jean Blues	song	1970	date
Big Legged Women	song	1970	date
Better Not Look Down	song	1970	date
Bar-B-Q	song	1970	date
Back Door Love Affair	song	1970	date
Ask Me No Questions	song	1970	date
Answer To The Laundromat Blues	song	1970	date
Ain't Nothing You Can Do	song	1970	date
Ain't Nobody's Business	song	1970	date
Ain't Nobody Home	song	1970	date
(Ain't It) A Real Good Sign	song	1970	date
Ain't Gonna Worry My Life Anymore	song	1970	date
A World Full Of Strangers	song	1970	date
A Story Everybody Knows	song	1970	date
You Were Wrong	song	1970	date
You're Still My Woman	song	1970	date
You Got To Lose	song	1970	date
You Can't Lose What You Never Had	song	1970	date
Who Are You	song	1970	date
When The Welfare Turns Its Back On You	song	1970	date
Waitin' For The Bus	song	1970	date
Took The Car	song	1970	date
The Blues Had A Baby And They Named It Rock And Roll	song	1970	date
The Beginning Of The End	song	1970	date
That's What The Blues Is All About	song	1970	date
Take It Home	song	1970	date
(Somebody Else Been) Shakin' Your Tree	song	1970	date
She Loves My Automobile	song	1970	date
Second Hand Woman	song	1970	date
Same Old Story (Same Old Song)	song	1970	date
Running Out Of Steam	song	1970	date
Rub My Back	song	1970	date
Power Of The Blues	song	1970	date
Part Time Love	song	1970	date
Pan Am Highway Blues	song	1970	date
Pack It Up	song	1970	date
One Bourbon, One Scotch, One Beer	song	1970	date
Niji Baby	song	1970	date
Never Make A Move Too Soon	song	1970	date
Neighbor, Neighbor	song	1970	date
My Pretty Girl	song	1970	date
My Babe	song	1970	date
